,target_sequence,target_sequence_count,target_sequence_including_nest,sequence_manhattan_length,target-sequence-id,target_sequence_type
0,[],139,[],0.0,Invalid Trapline,TargetSequenceType.Incomplete
1,"[85, 124, 122, 179, 181, 238, 236, 293, 295, 332]",58,"[47, 85, 124, 122, 179, 181, 238, 236, 293, 295, 332, 47]",1.1764705882352942,1,TargetSequenceType.SubOptimal
2,"[85, 122, 124, 181, 179, 236, 238, 295, 293, 332]",41,"[47, 85, 122, 124, 181, 179, 236, 238, 295, 293, 332, 47]",1.1764705882352942,2,TargetSequenceType.SubOptimal
3,"[85, 122, 124, 181, 179, 236, 238, 295, 332, 293]",39,"[47, 85, 122, 124, 181, 179, 236, 238, 295, 332, 293, 47]",1.1764705882352942,3,TargetSequenceType.SubOptimal
4,"[85, 122, 124, 181, 179, 236, 293, 332, 295, 238]",31,"[47, 85, 122, 124, 181, 179, 236, 293, 332, 295, 238, 47]",1.1176470588235294,4,TargetSequenceType.SubOptimal
5,"[85, 124, 122, 179, 181, 238, 236, 293, 332, 295]",27,"[47, 85, 124, 122, 179, 181, 238, 236, 293, 332, 295, 47]",1.1764705882352942,5,TargetSequenceType.SubOptimal
6,"[85, 124, 122, 179, 181, 238, 295, 332, 293, 236]",26,"[47, 85, 124, 122, 179, 181, 238, 295, 332, 293, 236, 47]",1.1176470588235294,6,TargetSequenceType.SubOptimal
7,"[85, 122, 124, 181, 238, 295, 332, 293, 236, 179]",19,"[47, 85, 122, 124, 181, 238, 295, 332, 293, 236, 179, 47]",1.0588235294117647,7,TargetSequenceType.SubOptimal
8,"[85, 124, 122, 179, 181, 238, 295, 293, 332, 236]",18,"[47, 85, 124, 122, 179, 181, 238, 295, 293, 332, 236, 47]",1.1764705882352942,8,TargetSequenceType.SubOptimal
9,"[85, 122, 124, 179, 181, 238, 236, 293, 295, 332]",18,"[47, 85, 122, 124, 179, 181, 238, 236, 293, 295, 332, 47]",1.2352941176470589,9,TargetSequenceType.SubOptimal
10,"[85, 122, 124, 181, 238, 236, 293, 295, 332, 179]",18,"[47, 85, 122, 124, 181, 238, 236, 293, 295, 332, 179, 47]",1.1764705882352942,10,TargetSequenceType.SubOptimal
11,"[85, 124, 122, 179, 236, 238, 295, 293, 332, 181]",18,"[47, 85, 124, 122, 179, 236, 238, 295, 293, 332, 181, 47]",1.1764705882352942,11,TargetSequenceType.SubOptimal
12,"[85, 122, 179, 181, 238, 236, 293, 332, 295, 124]",16,"[47, 85, 122, 179, 181, 238, 236, 293, 332, 295, 124, 47]",1.1176470588235294,12,TargetSequenceType.SubOptimal
13,"[85, 124, 181, 179, 236, 238, 295, 293, 332, 122]",14,"[47, 85, 124, 181, 179, 236, 238, 295, 293, 332, 122, 47]",1.1764705882352942,13,TargetSequenceType.SubOptimal
14,"[85, 122, 124, 181, 238, 236, 293, 332, 295, 179]",13,"[47, 85, 122, 124, 181, 238, 236, 293, 332, 295, 179, 47]",1.1764705882352942,14,TargetSequenceType.SubOptimal
15,"[85, 124, 122, 179, 181, 238, 236, 295, 293, 332]",12,"[47, 85, 124, 122, 179, 181, 238, 236, 295, 293, 332, 47]",1.2352941176470589,15,TargetSequenceType.SubOptimal
16,"[85, 124, 122, 179, 181, 236, 238, 295, 293, 332]",12,"[47, 85, 124, 122, 179, 181, 236, 238, 295, 293, 332, 47]",1.2352941176470589,16,TargetSequenceType.SubOptimal
17,"[85, 122, 179, 181, 238, 295, 332, 293, 236, 124]",12,"[47, 85, 122, 179, 181, 238, 295, 332, 293, 236, 124, 47]",1.1176470588235294,17,TargetSequenceType.SubOptimal
18,"[85, 122, 179, 181, 238, 236, 293, 295, 332, 124]",11,"[47, 85, 122, 179, 181, 238, 236, 293, 295, 332, 124, 47]",1.1764705882352942,18,TargetSequenceType.SubOptimal
19,"[85, 122, 124, 181, 179, 236, 238, 293, 295, 332]",11,"[47, 85, 122, 124, 181, 179, 236, 238, 293, 295, 332, 47]",1.2352941176470589,19,TargetSequenceType.SubOptimal
20,"[85, 124, 122, 179, 181, 236, 238, 295, 332, 293]",10,"[47, 85, 124, 122, 179, 181, 236, 238, 295, 332, 293, 47]",1.2352941176470589,20,TargetSequenceType.SubOptimal
21,"[85, 122, 124, 181, 179, 236, 293, 295, 332, 238]",10,"[47, 85, 122, 124, 181, 179, 236, 293, 295, 332, 238, 47]",1.1764705882352942,21,TargetSequenceType.SubOptimal
22,"[85, 122, 179, 236, 238, 295, 293, 332, 181, 124]",9,"[47, 85, 122, 179, 236, 238, 295, 293, 332, 181, 124, 47]",1.1176470588235294,22,TargetSequenceType.SubOptimal
23,"[85, 122, 179, 236, 293, 332, 295, 238, 181, 124]",9,"[47, 85, 122, 179, 236, 293, 332, 295, 238, 181, 124, 47]",1.0,23,TargetSequenceType.Optimal
24,"[85, 124, 122, 179, 181, 238, 236, 295, 332, 293]",9,"[47, 85, 124, 122, 179, 181, 238, 236, 295, 332, 293, 47]",1.2352941176470589,24,TargetSequenceType.SubOptimal
25,"[85, 122, 179, 236, 238, 295, 332, 293, 181, 124]",9,"[47, 85, 122, 179, 236, 238, 295, 332, 293, 181, 124, 47]",1.1176470588235294,25,TargetSequenceType.SubOptimal
26,"[85, 124, 122, 179, 181, 236, 293, 332, 295, 238]",8,"[47, 85, 124, 122, 179, 181, 236, 293, 332, 295, 238, 47]",1.1764705882352942,26,TargetSequenceType.SubOptimal
27,"[85, 122, 124, 181, 179, 238, 236, 293, 332, 295]",8,"[47, 85, 122, 124, 181, 179, 238, 236, 293, 332, 295, 47]",1.2352941176470589,27,TargetSequenceType.SubOptimal
28,"[85, 122, 124, 181, 179, 236, 238, 293, 332, 295]",8,"[47, 85, 122, 124, 181, 179, 236, 238, 293, 332, 295, 47]",1.2352941176470589,28,TargetSequenceType.SubOptimal
29,"[85, 122, 179, 181, 236, 238, 295, 293, 332, 124]",8,"[47, 85, 122, 179, 181, 236, 238, 295, 293, 332, 124, 47]",1.2352941176470589,29,TargetSequenceType.SubOptimal
30,"[85, 122, 124, 179, 181, 238, 236, 293, 332, 295]",8,"[47, 85, 122, 124, 179, 181, 238, 236, 293, 332, 295, 47]",1.2352941176470589,30,TargetSequenceType.SubOptimal
31,"[85, 124, 122, 179, 236, 293, 332, 295, 238, 181]",8,"[47, 85, 124, 122, 179, 236, 293, 332, 295, 238, 181, 47]",1.0588235294117647,31,TargetSequenceType.SubOptimal
32,"[85, 122, 124, 181, 179, 238, 295, 293, 332, 236]",8,"[47, 85, 122, 124, 181, 179, 238, 295, 293, 332, 236, 47]",1.2352941176470589,32,TargetSequenceType.SubOptimal
33,"[85, 122, 124, 181, 179, 238, 236, 293, 295, 332]",8,"[47, 85, 122, 124, 181, 179, 238, 236, 293, 295, 332, 47]",1.2352941176470589,33,TargetSequenceType.SubOptimal
34,"[85, 124, 122, 179, 236, 238, 295, 332, 293, 181]",7,"[47, 85, 124, 122, 179, 236, 238, 295, 332, 293, 181, 47]",1.1764705882352942,34,TargetSequenceType.SubOptimal
35,"[85, 124, 181, 179, 236, 238, 295, 332, 293, 122]",7,"[47, 85, 124, 181, 179, 236, 238, 295, 332, 293, 122, 47]",1.1176470588235294,35,TargetSequenceType.SubOptimal
36,"[85, 124, 181, 238, 236, 293, 332, 295, 179, 122]",7,"[47, 85, 124, 181, 238, 236, 293, 332, 295, 179, 122, 47]",1.1176470588235294,36,TargetSequenceType.SubOptimal
37,"[85, 122, 179, 181, 238, 295, 293, 332, 236, 124]",7,"[47, 85, 122, 179, 181, 238, 295, 293, 332, 236, 124, 47]",1.1764705882352942,37,TargetSequenceType.SubOptimal
38,"[85, 124, 122, 179, 236, 293, 295, 332, 238, 181]",7,"[47, 85, 124, 122, 179, 236, 293, 295, 332, 238, 181, 47]",1.1176470588235294,38,TargetSequenceType.SubOptimal
39,"[85, 124, 122, 179, 181, 236, 293, 295, 332, 238]",6,"[47, 85, 124, 122, 179, 181, 236, 293, 295, 332, 238, 47]",1.2352941176470589,39,TargetSequenceType.SubOptimal
40,"[85, 124, 122, 181, 238, 236, 293, 332, 295, 179]",6,"[47, 85, 124, 122, 181, 238, 236, 293, 332, 295, 179, 47]",1.2352941176470589,40,TargetSequenceType.SubOptimal
41,"[85, 124, 122, 181, 179, 236, 238, 295, 293, 332]",6,"[47, 85, 124, 122, 181, 179, 236, 238, 295, 293, 332, 47]",1.2352941176470589,41,TargetSequenceType.SubOptimal
42,"[85, 124, 181, 238, 295, 332, 293, 236, 179, 122]",6,"[47, 85, 124, 181, 238, 295, 332, 293, 236, 179, 122, 47]",1.0,42,TargetSequenceType.Optimal
43,"[85, 122, 124, 181, 179, 238, 295, 332, 293, 236]",6,"[47, 85, 122, 124, 181, 179, 238, 295, 332, 293, 236, 47]",1.1764705882352942,43,TargetSequenceType.SubOptimal
44,"[85, 124, 181, 179, 236, 293, 332, 295, 238, 122]",6,"[47, 85, 124, 181, 179, 236, 293, 332, 295, 238, 122, 47]",1.1176470588235294,44,TargetSequenceType.SubOptimal
45,"[85, 122, 124, 181, 238, 236, 295, 293, 332, 179]",5,"[47, 85, 122, 124, 181, 238, 236, 295, 293, 332, 179, 47]",1.2352941176470589,45,TargetSequenceType.SubOptimal
46,"[85, 122, 124, 181, 238, 295, 293, 332, 236, 179]",5,"[47, 85, 122, 124, 181, 238, 295, 293, 332, 236, 179, 47]",1.1176470588235294,46,TargetSequenceType.SubOptimal
47,"[85, 122, 124, 179, 181, 238, 295, 332, 293, 236]",5,"[47, 85, 122, 124, 179, 181, 238, 295, 332, 293, 236, 47]",1.1764705882352942,47,TargetSequenceType.SubOptimal
48,"[85, 124, 122, 181, 179, 236, 238, 295, 332, 293]",5,"[47, 85, 124, 122, 181, 179, 236, 238, 295, 332, 293, 47]",1.2352941176470589,48,TargetSequenceType.SubOptimal
49,"[85, 122, 124, 179, 181, 238, 295, 293, 332, 236]",5,"[47, 85, 122, 124, 179, 181, 238, 295, 293, 332, 236, 47]",1.2352941176470589,49,TargetSequenceType.SubOptimal
50,"[85, 122, 124, 179, 236, 238, 295, 293, 332, 181]",5,"[47, 85, 122, 124, 179, 236, 238, 295, 293, 332, 181, 47]",1.2352941176470589,50,TargetSequenceType.SubOptimal
51,"[85, 124, 181, 238, 236, 293, 295, 332, 179, 122]",4,"[47, 85, 124, 181, 238, 236, 293, 295, 332, 179, 122, 47]",1.1176470588235294,51,TargetSequenceType.SubOptimal
52,"[85, 124, 181, 238, 295, 293, 332, 236, 179, 122]",4,"[47, 85, 124, 181, 238, 295, 293, 332, 236, 179, 122, 47]",1.0588235294117647,52,TargetSequenceType.SubOptimal
53,"[85, 124, 181, 238, 236, 295, 293, 332, 179, 122]",4,"[47, 85, 124, 181, 238, 236, 295, 293, 332, 179, 122, 47]",1.1764705882352942,53,TargetSequenceType.SubOptimal
54,"[85, 122, 179, 236, 293, 295, 332, 238, 181, 124]",4,"[47, 85, 122, 179, 236, 293, 295, 332, 238, 181, 124, 47]",1.0588235294117647,54,TargetSequenceType.SubOptimal
55,"[85, 122, 124, 181, 179, 236, 295, 293, 332, 238]",4,"[47, 85, 122, 124, 181, 179, 236, 295, 293, 332, 238, 47]",1.2352941176470589,55,TargetSequenceType.SubOptimal
56,"[85, 124, 181, 179, 238, 295, 332, 293, 236, 122]",4,"[47, 85, 124, 181, 179, 238, 295, 332, 293, 236, 122, 47]",1.1176470588235294,56,TargetSequenceType.SubOptimal
57,"[85, 122, 179, 181, 238, 236, 295, 293, 332, 124]",4,"[47, 85, 122, 179, 181, 238, 236, 295, 293, 332, 124, 47]",1.2352941176470589,57,TargetSequenceType.SubOptimal
58,"[85, 122, 179, 181, 236, 293, 332, 295, 238, 124]",4,"[47, 85, 122, 179, 181, 236, 293, 332, 295, 238, 124, 47]",1.1176470588235294,58,TargetSequenceType.SubOptimal
59,"[85, 122, 124, 181, 238, 293, 332, 295, 236, 179]",4,"[47, 85, 122, 124, 181, 238, 293, 332, 295, 236, 179, 47]",1.1764705882352942,59,TargetSequenceType.SubOptimal
60,"[85, 124, 122, 179, 181, 236, 293, 295, 238, 332]",4,"[47, 85, 124, 122, 179, 181, 236, 293, 295, 238, 332, 47]",1.3529411764705883,60,TargetSequenceType.SubOptimal
61,"[85, 124, 122, 181, 238, 295, 332, 293, 236, 179]",4,"[47, 85, 124, 122, 181, 238, 295, 332, 293, 236, 179, 47]",1.1176470588235294,61,TargetSequenceType.SubOptimal
62,"[85, 122, 124, 179, 236, 293, 332, 295, 238, 181]",4,"[47, 85, 122, 124, 179, 236, 293, 332, 295, 238, 181, 47]",1.1176470588235294,62,TargetSequenceType.SubOptimal
63,"[85, 122, 124, 181, 238, 236, 295, 332, 293, 179]",3,"[47, 85, 122, 124, 181, 238, 236, 295, 332, 293, 179, 47]",1.1764705882352942,63,TargetSequenceType.SubOptimal
64,"[85, 124, 181, 179, 236, 238, 293, 295, 332, 122]",3,"[47, 85, 124, 181, 179, 236, 238, 293, 295, 332, 122, 47]",1.2352941176470589,64,TargetSequenceType.SubOptimal
65,"[85, 124, 122, 179, 236, 238, 181, 295, 293, 332]",3,"[47, 85, 124, 122, 179, 236, 238, 181, 295, 293, 332, 47]",1.2941176470588236,65,TargetSequenceType.SubOptimal
66,"[85, 124, 181, 179, 238, 236, 293, 295, 332, 122]",3,"[47, 85, 124, 181, 179, 238, 236, 293, 295, 332, 122, 47]",1.2352941176470589,66,TargetSequenceType.SubOptimal
67,"[85, 124, 122, 181, 238, 295, 293, 332, 236, 179]",3,"[47, 85, 124, 122, 181, 238, 295, 293, 332, 236, 179, 47]",1.1764705882352942,67,TargetSequenceType.SubOptimal
68,"[85, 124, 181, 179, 236, 293, 295, 332, 238, 122]",3,"[47, 85, 124, 181, 179, 236, 293, 295, 332, 238, 122, 47]",1.1764705882352942,68,TargetSequenceType.SubOptimal
69,"[85, 124, 122, 179, 236, 238, 293, 332, 295, 181]",3,"[47, 85, 124, 122, 179, 236, 238, 293, 332, 295, 181, 47]",1.1764705882352942,69,TargetSequenceType.SubOptimal
70,"[85, 122, 179, 236, 238, 293, 332, 295, 181, 124]",3,"[47, 85, 122, 179, 236, 238, 293, 332, 295, 181, 124, 47]",1.1176470588235294,70,TargetSequenceType.SubOptimal
71,"[85, 124, 122, 179, 181, 236, 238, 293, 332, 295]",3,"[47, 85, 124, 122, 179, 181, 236, 238, 293, 332, 295, 47]",1.2941176470588236,71,TargetSequenceType.SubOptimal
72,"[85, 122, 124, 181, 179, 236, 295, 332, 293, 238]",3,"[47, 85, 122, 124, 181, 179, 236, 295, 332, 293, 238, 47]",1.2352941176470589,72,TargetSequenceType.SubOptimal
73,"[85, 122, 124, 179, 181, 236, 293, 332, 295, 238]",3,"[47, 85, 122, 124, 179, 181, 236, 293, 332, 295, 238, 47]",1.2352941176470589,73,TargetSequenceType.SubOptimal
74,"[85, 122, 124, 181, 179, 238, 236, 295, 293, 332]",3,"[47, 85, 122, 124, 181, 179, 238, 236, 295, 293, 332, 47]",1.2941176470588236,74,TargetSequenceType.SubOptimal
75,"[85, 124, 122, 181, 238, 236, 295, 332, 293, 179]",3,"[47, 85, 124, 122, 181, 238, 236, 295, 332, 293, 179, 47]",1.2352941176470589,75,TargetSequenceType.SubOptimal
76,"[85, 122, 124, 179, 181, 236, 238, 295, 293, 332]",3,"[47, 85, 122, 124, 179, 181, 236, 238, 295, 293, 332, 47]",1.2941176470588236,76,TargetSequenceType.SubOptimal
77,"[85, 122, 124, 181, 238, 236, 179, 293, 295, 332]",3,"[47, 85, 122, 124, 181, 238, 236, 179, 293, 295, 332, 47]",1.2941176470588236,77,TargetSequenceType.SubOptimal
78,"[85, 124, 122, 181, 179, 238, 295, 293, 332, 236]",3,"[47, 85, 124, 122, 181, 179, 238, 295, 293, 332, 236, 47]",1.2941176470588236,78,TargetSequenceType.SubOptimal
79,"[85, 122, 124, 181, 238, 179, 236, 293, 332, 295]",3,"[47, 85, 122, 124, 181, 238, 179, 236, 293, 332, 295, 47]",1.2941176470588236,79,TargetSequenceType.SubOptimal
80,"[85, 124, 122, 179, 181, 238, 293, 332, 295, 236]",3,"[47, 85, 124, 122, 179, 181, 238, 293, 332, 295, 236, 47]",1.2352941176470589,80,TargetSequenceType.SubOptimal
81,"[85, 124, 179, 181, 238, 236, 293, 295, 332, 122]",2,"[47, 85, 124, 179, 181, 238, 236, 293, 295, 332, 122, 47]",1.2352941176470589,81,TargetSequenceType.SubOptimal
82,"[85, 124, 122, 179, 236, 295, 293, 332, 238, 181]",2,"[47, 85, 124, 122, 179, 236, 295, 293, 332, 238, 181, 47]",1.1764705882352942,82,TargetSequenceType.SubOptimal
83,"[85, 122, 179, 181, 236, 238, 295, 332, 293, 124]",2,"[47, 85, 122, 179, 181, 236, 238, 295, 332, 293, 124, 47]",1.2352941176470589,83,TargetSequenceType.SubOptimal
84,"[85, 124, 122, 181, 179, 238, 236, 293, 295, 332]",2,"[47, 85, 124, 122, 181, 179, 238, 236, 293, 295, 332, 47]",1.2941176470588236,84,TargetSequenceType.SubOptimal
85,"[85, 124, 122, 181, 179, 238, 236, 293, 332, 295]",2,"[47, 85, 124, 122, 181, 179, 238, 236, 293, 332, 295, 47]",1.2941176470588236,85,TargetSequenceType.SubOptimal
86,"[85, 122, 124, 179, 181, 236, 238, 295, 332, 293]",2,"[47, 85, 122, 124, 179, 181, 236, 238, 295, 332, 293, 47]",1.2941176470588236,86,TargetSequenceType.SubOptimal
87,"[85, 122, 179, 236, 238, 293, 295, 332, 181, 124]",2,"[47, 85, 122, 179, 236, 238, 293, 295, 332, 181, 124, 47]",1.1764705882352942,87,TargetSequenceType.SubOptimal
88,"[85, 122, 124, 179, 181, 238, 236, 295, 293, 332]",2,"[47, 85, 122, 124, 179, 181, 238, 236, 295, 293, 332, 47]",1.2941176470588236,88,TargetSequenceType.SubOptimal
